University of Wollongong	
Serial Number : 10" panel new 2017	
Comments : Lab Cal CSIRO March 2018 	

	
Wavelength K-factor
1651	1.008474789
1652	1.008437806
1653	1.0084008
1654	1.008363793
1655	1.008326804
1656	1.008289853
1657	1.00825296
1658	1.008216145
1659	1.008179428
1660	1.008142828
1661	1.008106366
1662	1.008070061
1663	1.008033933
1664	1.007998003
1665	1.00796229
1666	1.007926813
1667	1.007891594
1668	1.007856652
1669	1.007822006
1670	1.007787678
1671	1.007753685
1672	1.007720049
1673	1.00768679
1674	1.007653927
1675	1.00762148
1676	1.007589469
1677	1.007557914
1678	1.007526835
1679	1.007496252
1680	1.007466185
1681	1.007436653
1682	1.007407677
1683	1.007379276
1684	1.00735147
1685	1.00732428
1686	1.007297725
1687	1.007271825
1688	1.0072466
1689	1.007222069
1690	1.007198254
1691	1.007175173
1692	1.007152847
1693	1.007131295
1694	1.007110538
1695	1.007090595
1696	1.007071486
1697	1.007053231
1698	1.00703585
1699	1.007019363
1700	1.00700379
1701	1.006989146
1702	1.006975425
1703	1.006962616
1704	1.006950709
1705	1.006939693
1706	1.006929557
1707	1.006920292
1708	1.006911886
1709	1.006904328
1710	1.006897609
1711	1.006891717
1712	1.006886641
1713	1.006882372
1714	1.006878898
1715	1.006876209
1716	1.006874294
1717	1.006873143
1718	1.006872745
1719	1.006873089
1720	1.006874165
1721	1.006875961
1722	1.006878469
1723	1.006881675
1724	1.006885571
1725	1.006890146
1726	1.006895388
1727	1.006901288
1728	1.006907834
1729	1.006915016
1730	1.006922824
1731	1.006931246
1732	1.006940272
1733	1.006949892
1734	1.006960094
1735	1.006970869
1736	1.006982205
1737	1.006994092
1738	1.007006519
1739	1.007019476
1740	1.007032952
1741	1.007046936
1742	1.007061418
1743	1.007076387
1744	1.007091833
1745	1.007107744
1746	1.00712411
1747	1.007140921
1748	1.007158166
1749	1.007175834
1750	1.007193915
1751	1.007212387
1752	1.007231191
1753	1.007250253
1754	1.007269502
1755	1.007288868
1756	1.007308277
1757	1.00732766
1758	1.007346944
1759	1.007366058
1760	1.007384931
1761	1.00740349
1762	1.007421665
1763	1.007439383
1764	1.007456574
1765	1.007473165
1766	1.007489086
1767	1.007504265
1768	1.007518629
1769	1.007532109
1770	1.007544631
1771	1.007556126
1772	1.00756652
1773	1.007575743
1774	1.007583724
1775	1.007590389
1776	1.007595669
1777	1.007599492
1778	1.007601786
1779	1.007602479
1780	1.0076015
1781	1.007598778
1782	1.007594241
1783	1.007587817
1784	1.007579435
1785	1.007569024
1786	1.007556512
1787	1.007541827
1788	1.007524898
1789	1.007505653
1790	1.007484021
1791	1.007459931
1792	1.00743331
1793	1.007404088
1794	1.007372193
1795	1.007337553
1796	1.007300096
1797	1.007259752
1798	1.007216449
1799	1.007170115
1800	1.007120679
1801	1.007068099
1802	1.00701246
1803	1.006953872
1804	1.006892451
1805	1.006828309
1806	1.00676156
1807	1.006692316
1808	1.006620691
1809	1.006546799
1810	1.006470752
1811	1.006392664
1812	1.006312647
1813	1.006230816
1814	1.006147284
1815	1.006062163
1816	1.005975568
1817	1.00588761
1818	1.005798405
1819	1.005708064
1820	1.005616701
1821	1.005524429
1822	1.005431362
1823	1.005337613
1824	1.005243295
1825	1.005148521
1826	1.005053405
1827	1.00495806
1828	1.004862599
1829	1.004767135
1830	1.004671781
1831	1.004576652
1832	1.00448186
1833	1.004387518
1834	1.00429374
1835	1.004200638
1836	1.004108327
1837	1.00401692
1838	1.003926528
1839	1.003837267
1840	1.003749249
1841	1.003662588
1842	1.003577396
1843	1.003493787
1844	1.003411874
1845	1.003331771
1846	1.00325359
1847	1.003177445
1848	1.00310345
1849	1.003031717
1850	1.00296236
1851	1.002895463
1852	1.002831
1853	1.002768916
1854	1.002709153
1855	1.002651658
1856	1.002596375
1857	1.002543248
1858	1.002492222
1859	1.002443241
1860	1.00239625
1861	1.002351194
1862	1.002308016
1863	1.002266662
1864	1.002227076
1865	1.002189203
1866	1.002152987
1867	1.002118373
1868	1.002085305
1869	1.002053728
1870	1.002023586
1871	1.001994824
1872	1.001967387
1873	1.001941218
1874	1.001916263
1875	1.001892466
1876	1.001869772
1877	1.001848125
1878	1.00182747
1879	1.001807751
1880	1.001788913
1881	1.001770901
1882	1.001753658
1883	1.00173713
1884	1.001721261
1885	1.001705995
1886	1.001691277
1887	1.001677053
1888	1.001663265
1889	1.001649859
1890	1.001636779
1891	1.001623971
1892	1.001611377
1893	1.001598944
1894	1.001586615
1895	1.001574335
1896	1.001562049
1897	1.001549701
1898	1.001537236
1899	1.001524597
1900	1.001511731
1901	1.001498587
1902	1.001485142
1903	1.001471377
1904	1.001457276
1905	1.00144282
1906	1.001427991
1907	1.001412772
1908	1.001397146
1909	1.001381093
1910	1.001364597
1911	1.00134764
1912	1.001330204
1913	1.00131227
1914	1.001293823
1915	1.001274843
1916	1.001255313
1917	1.001235215
1918	1.001214532
1919	1.001193245
1920	1.001171338
1921	1.001148791
1922	1.001125588
1923	1.00110171
1924	1.001077141
1925	1.001051861
1926	1.001025854
1927	1.000999102
1928	1.000971586
1929	1.000943289
1930	1.000914194
